[00:00.00] 未闻花名 (2024「叁重楼」演唱会—「楼间楼」重庆站现场)
[00:09.85] 词：沃特艾文儿
[00:11.67] 曲：町田纪彦
[00:13.22] 曲：secret base~君がくれたもの~」（10 years after Ver.）
[00:24.64] 我们将奔向各自的
[00:26.93] 那片碧海蓝天
[00:28.72] 而这是远行前
[00:30.47] 最后告别
[00:31.83] 谢谢你曾陪我走过那岁月
[00:34.51] 我知有太多人太多事
[00:39.03] 是一生一期
[00:42.57] 是一期一会
[01:01.09] 回忆披着下午三点半的阳光
[01:04.56] 像影子般被拉得模糊而漫长
[01:08.07] 它就在身后供你我倦怠时
[01:11.35] 千百次回头望
[01:15.34] 我熟知的少年们都终将成长
[01:19.00] 痛哭过大笑过挥挥手去远方
[01:22.57] 他们会如我祝愿的那样
[01:25.53] 成为自己的太阳
[01:29.79] 啊
[01:30.88] 这一路风雨不休
[01:32.72] 得你们一路护佑
[01:34.47] 走过多少路口
[01:36.87] 啊
[01:38.08] 回眸时每次泪流
[01:39.89] 都因岁月温柔
[01:43.52] 那些你与我
[01:45.49] 一直追逐的
[01:47.20] 一再错失的
[01:48.99] 不曾得到的
[01:50.69] 希望那些
[01:52.56] 都不会被流光消磨
[01:57.82] 有人说这生命如长河
[02:00.01] 我们度的风波
[02:01.74] 是人世间最寻常的颠簸
[02:05.07] 它不足以让我们修成正果
[02:07.59] 却足以让我们难忘难舍
[02:12.07] 这些年我们曾搂着肩高歌
[02:14.55] 曾碰过壁也碰过杯
[02:16.36] 谈过你的天高
[02:17.97] 我的海阔
[02:19.54] 曾意气风发也曾误解苛责
[02:21.95] 到如今都一并一笑而过
[02:26.65] 你往那天高
[02:30.07] 我向那海阔
[02:34.30] 啊
[02:35.39] 这一路风雨不休
[02:37.19] 得你们一路护佑
[02:38.97] 走过多少路口
[02:41.45] 啊
[02:42.56] 回眸时每次泪流
[02:44.37] 都因岁月温柔
[02:48.09] 那些你与我
[02:49.91] 一直追逐的
[02:51.73] 一再错失的
[02:53.48] 不曾得到的
[02:55.22] 希望那些
[02:57.08] 都不会被流光消磨
[03:02.21] 这些年我们曾搂着肩高歌
[03:04.69] 曾碰过壁也碰过杯
[03:06.49] 谈过你的天高
[03:08.10] 我的海阔
[03:09.43] 曾意气风发也曾误解苛责
[03:12.09] 到如今都一并一笑而过
[03:16.67] 你往那天高
[03:20.20] 我向那海阔
[03:24.37] 放眼路漫漫
[03:31.47] 那远行的船
[03:38.65] 有回忆做港湾
[03:45.22] 正值年少轻狂
[03:47.14] 爱的都是虚妄
[03:49.10] 追的都是天光
[03:50.63] 梦的都是荒唐
[03:52.54] 却在心上
[03:54.36] 刻下最无忧的时光
[03:59.64] 也许未来会有那一天
[04:01.82] 当你闭上双眼
[04:03.62] 恍然又回到了
[04:05.40] 那段华年
[04:06.72] 那时梦仍遥远你我仍少年
[04:09.48] 以为踮踮脚就能触到天
[04:13.94] 多年后当你正漫步过长街
[04:16.30] 在人海中擦肩
[04:17.89] 熟悉的一张脸
[04:19.72] 会释然吗
[04:21.08] 当初挥汗挥泪时多少不甘
[04:23.76] 都早在岁月中一一圆满
[04:28.19] 也许未来会有那一天
[04:30.47] 当你闭上双眼
[04:32.27] 恍然又回到了
[04:34.03] 那段华年
[04:35.43] 那时还不知倦还不懂怀念
[04:38.11] 以为路的尽头就是永远
[04:42.56] 多年后当你正重翻老照片
[04:45.01] 那一幕幕画面
[04:46.59] 在脑海中重现
[04:48.39] 会微笑吗
[04:49.74] 当初玩笑出口的多少诺言
[04:52.43] 都早在岁月中一一兑现
[04:57.00] 这风雪长路
[05:00.60] 朋友别停步
[05:04.06] 我在这半途
[05:07.82] 给你们祝福
