[00:00.00]  登顶 (上海NV腾讯视频年度应援曲)
[00:01.18]  词：Vya
[00:01.24]  曲：DoubleMirror双面镜/胡继沿
[00:01.54]  编曲：DoubleMirror双面镜/胡继沿
[00:01.87]  录音棚： MusesStudio
[00:02.02]  录音师：詹凌杰@缪思音乐
[00:02.35]  混音：胡继沿
[00:02.53]  混音/母带工作室：MusesStudio
[00:02.83]  出品方：NOVA电子竞技俱乐部
[00:03.21]  出品人：Ritina
[00:03.33]  总策划：Vya
[00:29.74]  有没有一瞬间 人生像是沦陷
[00:32.66]  前方难以分辨 偶尔不知深浅
[00:35.17]  或许不过一场云烟 叫我奔赴人间
[00:37.70]  过去就别再放枕边 逐梦高入云巅
[00:40.60]  这个世界有高峰也会有低谷
[00:42.94]  有晴空万里也会有乌云密布
[00:45.30]  当我记录着脚下每一步
[00:47.64]  我将计数着胜利者溢出的 地图
[00:50.73]  时间是他们最大宿敌
[00:53.26]  不服却是我的骨气
[00:55.67]  自由是追逐天空的随意
[00:58.31]  而我也会约定个归期
[01:00.80]  总有些人说我 不理想
[01:02.94]  不够强 不适合入场
[01:05.89]  成绩会告诉你 很理想
[01:08.16]  我够强 不只是福将
[01:10.83]  谁说我缺失自信的土壤
[01:13.33]  枪火点亮清晨的曙光
[01:15.85]  他们质疑二指在身前的出枪
[01:18.45]  此刻请看我无人可阻挡
[01:21.14]  我想我应该嚣张
[01:23.16]  节奏我要选择无双
[01:26.14]  前方请注意避让
[01:28.62]  已经进入我的主场
[01:31.14]  无论多少次登上山巅
[01:33.75]  热血从不曾减
[01:36.14]  无论多少次星光加冕
[01:38.60]  下一步仍在向前
[01:41.22]  我注定站在舞台中间
[01:43.75]  万丈光芒耀眼
[01:46.27]  二十场金雨荣光的画卷
[01:48.75]  让世界看清 我手中的剑
[01:51.13]  迷雾中见证我神兵天降
[01:53.86]  千杀后依旧璀璨
[01:56.30]  有我无前的战意又绽放
[01:58.88]  弱者请自觉退散
[02:01.39]  如果说此去远航
[02:03.64]  我将掌舵把握方向
[02:06.49]  谁堪我一合之将
[02:08.95]  我就是世界第一狂
[02:11.02]  肩负使命的兵刃
[02:12.39]  戍守着自己的精神
[02:13.74]  不信宿命的定论
[02:14.99]  我是我自己的星辰
[02:16.45]  乘风时曾听闻
[02:18.92]  绝境的剧本 是我们的行文
[02:21.61]  破浪后的灵魂
[02:23.80]  所有的冠军 看我们的鲸吞
[02:26.65]  不知何为死心
[02:28.10]  就拼到至今
[02:29.38]  用青春点燃紫金
[02:52.04]  无论多少次登上山巅
[02:54.55]  热血从不曾减
[02:56.97]  无论多少次星光加冕
[02:59.50]  下一步仍在向前
[03:01.95]  我注定站在舞台中间
[03:04.63]  万丈光芒耀眼
[03:07.07]  二十场金雨荣光的画卷
[03:09.55]  让世界看清 我手中的剑
